Name,Author,Publisher,Rating,Review Count,Sale Rank,Original Price,Sale Price,category
현명한 존재는 무리에 섞이지 않는다,귀스타브 르 봉 저/김진주 역,페이지2북스,9.8,33,"| 판매지수 22,890 판매지수란?","17,500원","15,750원",인문/교양
불편한 편의점,김호연 저,나무옆의자,9.5,"4,534","| 판매지수 164,727 판매지수란?","14,000원","12,600원",한국소설
1984,조지 오웰 저/정회성 역,민음사,9.5,559,"| 판매지수 77,631 판매지수란?","11,000원","9,900원",영미소설
1%를 읽는 힘,메르 저,토네이도,9.6,398,"| 판매지수 82,884 판매지수란?","22,000원","19,800원",CEO/비즈니스맨
싸우지 않고 이기는 기술,제이 하인리히 저/조용빈 역,토네이도,10.0,5,"| 판매지수 9,402 판매지수란?","19,800원","17,820원",처세술/삶의 자...
사피엔스 : 그래픽 히스토리 Vol.2,유발 하라리 원저/다니엘 카사나브 그림/다비드 반데르묄렝 편/김명주 역,김영사,9.6,58,"| 판매지수 74,322 판매지수란?","19,800원","17,820원",인문/교양
죽이고 싶은 아이,이꽃님 저,우리학교,9.5,331,"| 판매지수 141,822 판매지수란?","12,500원","11,250원",청소년 문학
아무도 상처받지 않는 대화법,하야시 겐타로 저/민혜진 역,포텐업,9.7,24,"| 판매지수 58,071 판매지수란?","16,800원","15,120원",인간관계
그릿 (50만 부 판매 기념 리커버 골드에디션),앤절라 더크워스 저/김미정 역,비즈니스북스,9.0,396,"| 판매지수 99,075 판매지수란?","18,000원","16,200원",성공학/경력관리
원더풀 랜드,더글라스 케네디 저/조동섭 역,밝은세상,9.8,31,"| 판매지수 13,572 판매지수란?","19,800원","17,820원",영미소설
믹스 MIX 22,아다치 미츠루 글그림,대원,10.0,2,"| 판매지수 8,880 판매지수란?","5,500원","4,950원",스포츠
사피엔스 : 그래픽 히스토리 Vol.3 역사의 배후,유발 하라리 저/다니엘 카사나브 그림/김명주 역,김영사,9.7,6,"| 판매지수 70,587 판매지수란?","19,800원","17,820원",인문/교양
어떤 비밀,최진영 저,난다,6.0,1,"| 판매지수 22,503 판매지수란?","17,000원","15,300원",한국 에세이
어차피 울 거라면 사랑이 좋아 1,쿠사카 아키 글그림,학산문화사,9.6,5,"| 판매지수 8,610 판매지수란?","6,000원","5,400원",로맨스
꽃을 보듯 너를 본다,나태주 저,지혜,9.5,834,"| 판매지수 113,340 판매지수란?","11,000원","9,900원",시/희곡
리얼리티 트랜서핑 1,바딤 젤란드 저/박인수 역,정신세계사,9.5,197,"| 판매지수 40,464 판매지수란?","11,000원","9,900원",처세술/삶의 자...
